date,iv_30d_atm,iv_3m_atm
2008-03-18,24.2634,24.031
2008-03-19,27.426,26.5236
2008-03-20,23.7814,24.9656
2008-03-24,23.2847,24.1596
2008-03-25,23.209,24.1956
2008-03-26,23.7287,24.6624
2008-03-27,24.087,24.777
2008-03-28,24.0708,24.8559
2008-03-31,23.7318,24.1842
2008-04-01,21.0083,22.0908
2008-04-02,21.8706,22.9281
2008-04-03,21.7695,22.8487
2008-04-04,20.9354,22.1899
2008-04-07,20.9078,21.801
2008-04-08,21.1527,21.862
2008-04-09,21.9576,22.4026
2008-04-10,20.9088,21.7911
2008-04-11,22.1703,22.9046
2008-04-14,22.1686,23.062
2008-04-15,21.2559,22.4377
2008-04-16,19.4152,20.8381
2008-04-17,18.9174,20.6163
2008-04-18,17.8274,19.7869
2008-04-21,18.3505,20.0704
2008-04-22,18.9855,20.5524
2008-04-23,18.3882,20.1894
2008-04-24,18.0637,19.7284
2008-04-25,17.6818,19.1758
2008-04-28,17.8355,19.0857
2008-04-29,18.2839,19.4384
2008-04-30,19.0229,19.803
2008-05-01,16.9615,18.4558
2008-05-02,16.2337,18.1416
2008-05-05,16.8839,18.5232
2008-05-06,16.3015,18.3296
2008-05-07,18.1492,19.4972
2008-05-08,17.406,19.157
2008-05-09,17.7076,19.341
2008-05-12,16.8899,18.6596
2008-05-13,16.8448,18.5872
2008-05-14,16.0832,18.232
2008-05-15,15.279,17.5304
2008-05-16,14.9001,17.7535
2008-05-19,15.4274,18.062
2008-05-20,15.9599,18.9148
2008-05-21,16.9032,20.1481
2008-05-22,16.1326,19.6087
2008-05-23,17.6109,20.3985
2008-05-27,17.8092,20.1792
2008-05-28,17.3274,19.6912
2008-05-29,16.463,18.9354
2008-05-30,16.1613,18.6809
2008-06-02,18.0359,19.6879
2008-06-03,18.4252,20.1158
2008-06-04,18.8659,20.394
2008-06-05,16.9776,19.0403
2008-06-06,21.5026,21.9865
2008-06-09,21.2572,21.7415
2008-06-10,21.0874,21.701
2008-06-11,22.4176,22.4455
2008-06-12,21.5832,21.8498
2008-06-13,19.6414,20.5913
2008-06-16,19.2537,20.4785
2008-06-17,19.4732,20.586
2008-06-18,20.5442,21.4479
2008-06-19,19.6804,20.7338
2008-06-20,21.0065,21.6564
2008-06-23,20.8625,21.4064
2008-06-24,20.9726,21.4319
2008-06-25,19.7279,20.6361
2008-06-26,22.5897,22.7371
2008-06-27,22.1194,22.4914
2008-06-30,22.4414,22.3819
2008-07-01,22.0297,22.2288
2008-07-02,24.3179,23.6956
2008-07-03,23.1761,23.0953
2008-07-07,23.9865,23.5578
2008-07-08,21.2633,21.7368
2008-07-09,23.7061,23.4681
