date,csi,rolling_p33,rolling_p67,regime
2021-02-26,2.08303501391921,-0.49645858081824046,0.3716159819810044,high
2021-03-31,1.7836058829861654,-0.45966581850416743,0.39102375957967733,high
2021-04-30,2.031825480587166,-0.40756249757844143,0.40152277792576907,high
2021-05-28,1.6804870517050918,-0.3773711411831148,0.48276542692438534,high
2021-06-30,2.101046159258676,-0.33150188021890525,0.6018937087361901,high
2021-07-30,2.191135007179016,-0.22864054473169626,0.7004523757173651,high
2021-08-31,2.386830927074041,-0.11909196210329126,0.9743296141436375,high
2021-09-30,2.192195884297312,-0.06646613908138425,1.2078482725430402,high
2021-10-29,2.4896517138649763,-0.03545829543002741,1.472752733691679,high
2021-11-30,2.903470794493847,-0.012174031113165569,1.7351400322840609,high
2021-12-31,2.572997436329554,0.011243846155675866,1.915162269714696,high
2022-01-31,2.446550339308249,0.04409038703955368,2.0589665332531495,high
2022-02-28,2.2786988008407696,0.062261214736972756,2.088213880659988,high
2022-03-31,2.4760986350686203,0.13393280364463578,2.0971735008890624,high
2022-04-29,1.9762188011398047,0.24657310918897735,2.0971735008890624,medium
2022-05-31,1.658122901589599,0.2927904725732509,2.0971735008890624,medium
2022-06-30,1.7014965338164656,0.3017189865830278,2.0971735008890624,medium
2022-07-29,2.068798666591061,0.3263109372793219,2.0971735008890624,medium
2022-08-31,1.9649158102495845,0.3488307718868164,2.0971735008890624,medium
2022-09-30,1.842146432822318,0.35670916674842734,2.0971735008890624,medium
2022-10-31,1.4801285727468323,0.3704516514695775,2.0971735008890624,medium
2022-11-30,1.1504541083277855,0.3898591721918477,2.0971735008890624,medium
2022-12-30,0.8144636500902876,0.40136695711730574,2.0971735008890624,medium
2023-01-31,0.92869412493932,0.47370632662261347,2.0971735008890624,medium
2023-02-28,1.2041080120611376,0.5964410299307649,2.0971735008890624,medium
2023-03-31,1.7802151625215068,0.6941301851884584,2.0971735008890624,medium
2023-04-28,1.9657393571926955,0.7802853023518168,2.0971735008890624,medium
2023-05-31,2.654966252042634,0.8681519732693331,2.1487932486564563,high
2023-06-30,2.624259191148283,1.0329213171318994,2.191697272051713,high
2023-07-31,2.5389590066406837,1.1611844052064912,2.212304683090422,high
2023-08-31,2.550880984321452,1.1877715650946186,2.255874761070555,high
2023-09-29,2.3891301529095785,1.220271842680383,2.326197421526619,high
2023-10-31,2.6275898106925,1.3520649739412869,2.3781302460884586,high
2023-11-30,2.73794644947512,1.5637859073029332,2.388049516766876,high
2023-12-29,2.410828109174092,1.6686340521438807,2.395897361208673,high
2024-01-31,2.5244222047806306,1.6903615082974375,2.4066311789761374,high
2024-02-29,2.7021123316477738,1.7384942893078352,2.4206466822155464,high
2024-03-28,2.509933695715319,1.7818088011398963,2.438467927615919,high
2024-04-30,2.559975695832949,1.8111199414091572,2.4622109360612456,high
2024-05-31,2.9874674585310497,1.8998480402131337,2.483281766830689,high
2024-06-28,3.415699244506378,1.9653028773128467,2.500401164245658,high
2024-07-31,3.019834686552016,1.9706646958478369,2.517612605519934,high
2024-08-30,2.895669340605552,2.0023539404800648,2.532126709766459,high
2024-09-30,2.869827985142676,2.049202878008997,2.545277654811491,high
2024-10-31,2.9012870398960757,2.0754897498352913,2.5557011814225454,high
2024-11-29,2.810124086319211,2.0876275938591453,2.5668772182961495,high
2024-12-31,3.297819362593007,2.0966791189695373,2.60016616638348,high
2025-01-31,2.912389268348838,2.143387917781236,2.626024419506718,high
2025-02-28,2.6906765172756413,2.191633619424615,2.642099324608071,high
2025-03-31,2.31048976593191,2.210028215302523,2.642099324608071,medium
2025-04-30,2.40543251665428,2.210028215302523,2.642099324608071,medium
2025-05-30,2.724284312934458,2.2328522550727374,2.6632362805539516,high
2025-06-30,2.934030939395269,2.2328522550727374,2.6632362805539516,high
2025-07-31,3.243059794064288,2.2328522550727374,2.6632362805539516,high
2025-08-29,3.093536494961905,2.2328522550727374,2.6632362805539516,high
2025-09-30,3.2399570018594743,2.2328522550727374,2.6632362805539516,high
2025-10-31,3.512648898002931,2.2328522550727374,2.6632362805539516,high
2025-11-28,3.235411162245459,2.2328522550727374,2.681226491484655,high
2025-12-31,3.1474354373778475,2.2328522550727374,2.6967374988928716,high
2026-01-30,2.8955455378998463,2.2328522550727374,2.7138634817297165,high
2026-02-27,2.4691049230153985,2.2936405544336056,2.7138634817297165,medium
2026-03-31,2.487494539131653,2.3463701116687115,2.7138634817297165,medium
2026-04-30,2.8368124044244265,2.3879115632167434,2.731525245301009,high
2026-05-29,2.9856593838726986,2.3967922638695884,2.776200597002488,high
2026-06-30,2.4501722744190406,2.4079684451385917,2.776200597002488,medium
2026-07-30,2.5853289385787748,2.427617557337146,2.776200597002488,medium
